Id,Name,Description,Tel,Add,Zipcode,Opentime,Map,Px,Py,Class,Website,Parkinginfo,Changetime
E3_382000000A_208372,Flower fairy cafe',A large painting by Van Gogh hung on the wall will come into your eyes as soon as you enter the cafe decorated with European style. The dishes offered are a combination of Taiwan ans European styles. It is a good place for relaxation.,"886-2-86303773,886286303033","No.53, Guanhai Bivd., Bali Dist  249, Taiwan, Bali Dist., New Taipei City Taiwán, R.O.C",249,11:30 - 14:30、16:30 - 21:00,,121.42797,25.16164,09,,,28/9/2022 14:18
E3_382000000A_208377,Jinshan Duck Meat,The owner insists on using mature ducks farmed for 130 days and demands the preservation of its original flavor in the process of cooking. The ducks sold here are all freshly killed and sold. The delicious duck meat is impressive and memorable.,886-2-24981656,"No. 104, jinbauli St., ,  208, Taiwan, Jinshan Dist., New Taipei City Taiwán, R.O.C",208,09:00~18:30,,121.63835,25.22194,09,,,9/11/2019 16:21
E3_382000000A_208435,Baoyun Taro Balls shop,"Recommended ProductsTofu pudding with taro balls, herbal jelly pudding with taro balls, fresh milk with tofu pudding, tian bu laBaoyun is the name of a 97-year-old grandma who still possesses the beautiful traits of a traditional Taiwanese woman.",886-2-24974268,"No.8, Rueifang St., Rueifang Dist.,  22441, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",224,09:00 - 20:00,,121.80671,25.10991,09,,,25/7/2020 11:57
E3_382000000A_208458,Feng Wei Pork thick soup,"Towards the end of the 1960's, Ruifang and the nearby Houtong area were prosperous mining towns. The 1st-generation boss of ""Feng Wei Pork thick soup"" came from Sandiaoling and decided to settle down in Ruifang. Utilizing his culinary skills garnered from a stint in a big city hotel, he saw the potential of pork thick soup in the Ruifang market.","886-2-24979233,886920312468","Minsheng St., , , Ruifang Dist., New Taipei City Taiwán, R.O.C",224,08:00 - 15:00,,121.80563,25.10683,09,,,27/10/2021 14:21
E3_382000000A_208627,Liao Mucheng Century-Old Shop One-Bite Cake,"Recommended ProductsDifferent flavors of one-bite cakes and spring field pizza (available in winter only)The one-bite cake has different names in Chinese, including cake dumpling, dragon cake, or mille feuille (one thousand layers). It is a kind of moon cake-like Taiwanese cake with either sweet or salty stuffing.",886-2-24965038,"No.129, Jishan St., Rueifang Dist.,  22448, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",224,09：00~21：00,,121.84411,25.10849,09,,,25/7/2020 11:58
E3_382000000A_208833,Fuchang Shop(Tea Leaf pork meatball Soup),"Another Pinglin specialty is tea leaf pork meatball soup. First, the tea leaves used areis selected and grounded into a fine powder, then it is added to top quality minced pork. Aficionados say the two ingredients make a perfect pair. The finished tea leaf pork meatballs have a unique texture that is crispy and springy, and the taste is more refreshing and less oily than traditional pork...","886-2-26656219,886226656902","No.18, Pinglin St., , , Pinglin Dist., New Taipei City Taiwán, R.O.C",232,08:00 - 22:00,,121.71206,24.93635,09,,,25/7/2020 15:04
E3_382000000A_208345,Mountain Legends,"Culinary art knows no boundaries. It is an ulimate enjoyment to savor delicious dishes in the natural environment of Shenkeng. Steaks, BBQ, buﬀets or outdoor karaoke and party food are all the delicacies to please the eyes and mouths.",886-2-26620153,"No.51, Fengge St., ,  222, Taiwan, Shenkeng Dist., New Taipei City Taiwán, R.O.C",222,Tue. ~ Fri. 12:00 - 20:00 / Weekend 12:00 - 20:00 / The shop is closed on Monday.,,121.62725,25.01698,09,,,25/7/2020 14:33
E3_382000000A_208382,Jinshan Chongyu Restaurant,"The first rolled pastry and meat pastry shop on Jinshan Street, this restaurant offers juicy pork and beef pastries, a delicacy widely acclaimed by those who have tasted it. The specially made salted chicken, pickled cabbage, and ferns are all very tasty as well.","886-2-24988953,886224982345","No.203, Zhongshcn Rd., ,  208, Taiwan, Jinshan Dist., New Taipei City Taiwán, R.O.C",208,11:00 - 14:00、16:30 - 20:30 (The shop is closed on Tuesday),,121.63798,25.22132,09,,,25/7/2020 14:20
E3_382000000A_208311,Yingge Xiangxiang Dumpling Shop,"The big, delicious handmade dumplings here are ﬁlled with fresh leeks and pork.：",886-2-26784919,"No.37 Nanya Rd., ,  239 Taiwan, Yingge Dist., New Taipei City Taiwán, R.O.C",239,11:00-19:30,,121.34886,24.95419,09,,,9/11/2019 16:32
E3_382000000A_208371,She's Green Mussel,The store has a history of 20 years. Green Mussel and various seashell food and other dishes are served for your choice.Green Mussel and friend beef with onion are specially recommeded.,"886-2-26103103,886226101286","No.22, Duchuantou St., ,  249, Taiwan, Bali Dist., New Taipei City Taiwán, R.O.C",249,11:00 - 19:00(Closed on New Year's Eve),,121.43528,25.15867,09,,,25/7/2020 15:09
E3_382000000A_208620,Juisanfuli Restaurant,"Recommended ProductsSesame Chicken, Steamed Silky Fowl, Fujian Shark’s Fin Soup (Buddha Jumps Over the Wall), and Winter Melon Soup with ScallopAs to what the restaurant's name suggests, it was the employee's restaurant of Juisan Mining. During the Japanese colonial period, it was called Juisan Dining Hall. After the restoration of Taiwanese rule, it was renamed as Juisanfuli Restaurant.",886-2-24977056,"No. 45 Houtong Road, Houtong Borough, Ruifang District, , Ruifang Dist., New Taipei City Taiwán, R.O.C",224,"11:30 - 19:00 (Please make a reservation by phone,before who want to dine in the evening.)",,121.82988,25.08887,09,,,25/7/2020 14:55
E3_382000000A_208169,Baoan Medicine,"Three Generations of Herbal MedicineWalking  along  Tamsui Old Street, there is a shop filled with herbal medicine and  Buddhist  statues.  This  is the  100-year-old  Baoan  Medicine shop,which has been run for three generations. It is known as being the oldest medicine shop in Tamsui and Bali. They use decent materials to make health drinks.",886-2-26212650,"89 Zhongzheng Road, Tamsui District, , Tamsui Dist., New Taipei City Taiwán, R.O.C",251,08:00~21:00,,121.44049,25.16971,09,,,9/11/2019 16:36
E3_382000000A_208342,New Harbor Sea Food,"Over 40 years old, New Harbor Sea Food is one of the oldest restaurants in AoDi. Constantly introducing new dishes, the restaurant is highly popular. Sweet-and-sour eels and stirred-fried abalones are both signature dishes.",886-2-24901061,"No.60, Xingang St., ,  228, Taiwan, Gongliao Dist., New Taipei City Taiwán, R.O.C",228,11:00 - 20:30,,121.92696,25.05444,09,,,25/7/2020 15:01
E3_382000000A_208766,Red Vermicelli,"Handmade, colorful darker shade noodles are heated then carefully boiled so they remain firm, and simmered, braised chitterling is added that leaves people coming back for more.",886-2-26831626,"No. 22-5, Section 1, Baoan Street, Shulin District, , Shulin Dist., New Taipei City Taiwán, R.O.C",238,Tue. - Sat 14:00~23:00,,121.42735,24.99345,09,,,9/11/2019 16:32
E3_382000000A_208338,Shifang Tea Cuisine,The owner uses the zen-style of Japan’s Kaiseki cuisine in the dishes oﬀered in the store. There are over a hundred dishes that change with the seasons for the tourists to choose from.,886-2-26656309,"No. 92, Shuiliujiao Rd., ,  232, Taiwan, Pinglin Dist., New Taipei City Taiwán, R.O.C",232,11:00~20:30,,121.70877,24.935,09,,,9/11/2019 16:29
E3_382000000A_208343,Tofu & Old Mansion,"There are many posters of old Taiwanese movies and newspaper clips on the wall. This nostalgic restaurant oﬀers a clean and bright environment. The signature dishes are Beef & Sinky Tofu, Spicy Duck Blood Tofu Soup and braised bamboo shoots cooked with chicken broth and pork.","886-2-26622534,886226621508","No.140, Shenkeng St., ,  222, Taiwan, Shenkeng Dist., New Taipei City Taiwán, R.O.C",222,11:00 - 20:00 / Weekend 10:30-20:00,,121.61289,25.00118,09,,,25/7/2020 14:33
E3_382000000A_208462,Fu Gu Beef Noodles,"If the number of customers in a shop is an indication of the shop's popularity, then any shop that has customers ""anytime"" or ""always"" must be considered a good shop. Right around the corner in front of Rui Fang Train Station, there stands a three-window storefront. The store is always teeming with customers slurping the store's famous beef noodles.",886-2-24960567,"No.21, Minsheng St., , , Ruifang Dist., New Taipei City Taiwán, R.O.C",224,08:00 - 22:00,,121.80599,25.10758,09,,,25/7/2020 14:55
E3_382000000A_403034,Gao's Fried Fresh Squid,"A full bowl of fried fresh squid contains only two simple food ingredients, cabbage and squid; the aromatic fried cabbage has a crunchy texture and tastes sweet as well as the well-processed squid is crusty and chewy. Mixed with 4 seasonings, sour, sweet, salty, and spicy, the simple bowl of squid becomes very special.",886-2-29603503,"No.28, Gongkou Street, , , Banqiao Dist., New Taipei City Taiwán, R.O.C",220,Tuesday ~ Sunday 8:00-17:30. The shop is closed on Mondays and the Chinese New Year holidays from the prior day before the Chinese New Year's Eve to the 5th day of the 1st lunar month.,,121.4574,25.01026,09,,,27/12/2019 14:37
E3_382000000A_208207,Fumei Croissant Bakery,"The bona fide gift item to bring back from a trip to Sanxia is dozen or so Croissant (literally in Mandarin ""bull horns""). Tucked away in a lonely little alcove of Sanxia Market is Fumei Croissant Bakery-the ﬁrst shop to create the recipe for ""golden croissants"". They have a tender middle and a crispy exterior and taste buttery and by that virtue sell so well.",886-2-26711315,"No. 25 Sinyi Street, Sanxia Town, Taipei County, Sanxia Dist., New Taipei City Taiwán, R.O.C",237,"08:00 - 18:00 / The shop is closed on Monday.(Closed on New Year's Eve to the fourth day、Moon Festival、Dragon Boat Festival,and Tomb Sweeping Day.)",,121.37101,24.93543,09,,,25/7/2020 15:06
E3_382000000A_208615,Yaomei Agricultural Product Shop,"Recommended ProductsAlishan High-Mountain Tea, Handmade NougatA few steps from the intersection of Shuqi Road and Jishan Street, there is a log signboard reading (Yao Mei A Li Shan Wu Long Cha), Jiufen Yaomei Agricultural Product Shop. When turning to the other side of the signborad, a small aluminum doorplate from grandpa's time is spotted.","886-2-24965519,886933971379","No.146, Jishan St., ,  224, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",224,09:00-19:00 or 20:00,,121.8433,25.10794,09,,,28/9/2021 10:58
E3_382000000A_208829,Wu Mama Handmade Dumplings,"When you visit Taishan you can find many inexpensive snacks. Although most are common, their preparation requires meticulous care. One well-known stand that serves fresh dumplings fitting this description is located on the second floor of the Taishan Public Market. The dumplings are highly praised, and customers often buy many boxes at a time.",886-2-29004135,"Floor 2, No. 212, Chuanxing Road, Taishan District, , Taishan Dist., New Taipei City Taiwán, R.O.C",243,07:00 - 13:00,,121.43364,25.05616,09,,,25/7/2020 15:08
E3_382000000A_208570,Jiufen Food Quiz Shop,"Recommended Productsfirst stinky tofu shop in Jiufen, bamboo rice, Taiwanese proverbsJiufen Food Quiz Shop was the first stinky tofu shop ever in Jiufen. Dozens of Taiwanese proverbs are posted on the walls as a way for customers to learn more about traditional Taiwanese wisdom.",886-2-24979473,"No. 106, Jishan St., ,  224, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",224,11:00 -19:00 /Weekend  11:00 - 20:00,,121.84405,25.10854,09,,,25/7/2020 14:51
E3_382000000A_208283,Pizza Olmo,"The secret to wood-smoked pizza is the kiln built by the owner himself, with longan wood as fuel. The fruit scent add to the taste and crunchiness of pizza.",886-2-26366758,"No.46, Zhibo Rd., ,  252, Taiwan, Sanzhi Dist., New Taipei City Taiwán, R.O.C",252,Thu. -Mon.：11:30~19:30 Weekend 11:30-21:00  closed on Tue & Wed.,,121.50963,25.25874,09,,,9/11/2019 16:36
E3_382000000A_208165,Lee Noodles,"Take a left turn after you head out of Lane 410 and you'll see Lee Noodles about 50 m down the road. They are known for the way they cut the noodles. As they busily prepare the meals, you can see how the division of labor works. Some prepare ingredients, some cut them and some stir fry them.",886-9-52727616,"No. 404 Jinsin Street, Zhonghe  Dis t.,  New Taipei  City, Zhonghe Dist., New Taipei City Taiwán, R.O.C",235,"11:30-14:00, 17:00-23:00",,121.51265,24.98942,09,,,20/1/2017 7:39
E3_382000000A_208205,A-Po Sashimi,"A-Po Sashimi is a representative of the finest seafood available in Yingge. The place is always packed causing trafﬁc jams in Zhongjheng First Road. There is not a lot of variety on the menu with items such as Taiwanese style sashimi rolls that go well with a bowl of fresh miso soup. If that is not enough to eat, you can add some snack plates and refreshing chilled noodles.",886-2-26709345,"No. 63 Zhongjheng First Road, Yingge Town, Taipei County, Yingge Dist., New Taipei City Taiwán, R.O.C",239,24 hr.,,121.35222,24.95431,09,,,30/8/2018 17:52
E3_382000000A_208229,Ching Ching Restaurant,"Chef’s Specials: Shrimp Cake, Tomato Soup in Pork Rib Broth","886-2-22691127,886222696430","No.6, Sec. 3, Zhongyang Rd., , , Tucheng Dist., New Taipei City Taiwán, R.O.C",236,11:00-22:00 (Closed on the first day of the lunar year ),,121.43908,24.96981,09,,,28/6/2018 17:13
E3_382000000A_208320,Shiding Lindera Sausages,"“Lindera” is a kind of wild pepper spice. Hind leg meat of black pigs is used for a  ﬁrm taste, and the light lemon scent has a bit of lemongrass and ginger.",886-2-26633856,"No.6, Xiahengping, ,  223, Taiwan, Shiding Dist., New Taipei City Taiwán, R.O.C",223,Mon. - Fri. 11:00 - 17:30 / Weekend 09:00 - 17:30 / Close on Wed.,,121.66634,24.98625,09,,,11/6/2019 15:37
E3_382000000A_208642,Old Friends Sweet Taro Ball,"Recommended Productshandmade sweet taro ball, ginger tea sweet taro ball, mountain yam sweet taro ball, green tea sweet taro ballThere is a prominent yellow signboard which reads ""Old Friends Sweet Taro Balls"" not far from the entrance of Jishan Old Street (Jiudaoko), approximately 20 meters to the right.The Old Friends Sweet Taro Ball was founded in 1990.","886-2-24972600,886930275892","No. 4-3, Jishan St., , , Ruifang Dist., New Taipei City Taiwán, R.O.C",224,Mon-Fri 08:30 - 19:00 Sat-Sun 08:30 - 20:00,,121.8452,25.10961,09,,,25/6/2018 11:00
E3_382000000A_208830,De-li Service Station(Soy-Stewed Pork Knuckles),"Pinglin is a popular destination for cyclists and walkers because it offers a great environment for outdoor activities. When people are done with these exercises, they need good tasting food that can replenish their lost energy and fill their appetite. At moments like these, Soy-Stewed Pork Knuckle is a dish that cannot be missed.","886-2-26656232,886226656882","No.140, Shuiliujiao Road, , , Pinglin Dist., New Taipei City Taiwán, R.O.C",232,Weekday 08:30-18:00  Weekend 08:00-18:00 close on Thu.,,121.70894,24.93496,09,,,25/6/2018 11:12
E3_382000000A_208349,“Healthful＂ crisp roll,The owner of this shop tasted the custard crisp roll by accident when he was abroad. Since then he couldn't forget the taste. Then he began to do some research and invented the delicious “Healthful” crisp roll. There are six ﬂavors; people just couldn't help eaing one by one because it is so delicious.,886-2-29922348,"No.19, Touqian Rd., ,  242, Taiwan, Xinzhuang Dist., New Taipei City Taiwán, R.O.C",242,8:00~17:00 closed on Weekend,,121.46751,25.05222,09,,,25/6/2018 10:30
E3_382000000A_208355,Camellia Village herbal ice cream,"Four ﬂavors of herbal ice cream are provided for the customers to choose from: ginger  ﬂower, lavender, sunﬂower and rosemary.",886-2-24932631,"No.67, Meizhuxi, ,  227, Taiwan, Shuangxi Dist., New Taipei City Taiwán, R.O.C",227,08:00 - 17:00,,121.84641,25.03142,09,,,27/9/2021 13:39
E3_382000000A_208273,Xiaode Zhang Niuweng Mutton stove,"Chip mutton into small pieces, add red date, medlar and other 28 Chinese herbs, and stew with charcoal fire for more than 2 hours. The soup is sweet and nutritious; the mutton is tender and inexhaustible after taste.",886-2-29275550,"No.89, Sec. 1, Zhongshan Rd., ,  234, Taiwan, Yonghe Dist., New Taipei City Taiwán, R.O.C",234,16:30-02:30,,121.51177,25.01068,09,,,11/6/2019 15:50
E3_382000000A_208291,Original Flavor Sesame Chicken,"If you were to compare all the fine snack foods of Sanchong, no doubtthe sesame oil chicken would be on the top of the list. Original Flavor Sesame Chicken are prepared every afternoon, but it isn’t merely the freshness that wins favor, but also the price, which is more reasonable than similar shops.",886-9-28622666,"No. 56-3 Zhongyang North Road, Sanchong District, Taipei County, Sanchong Dist., New Taipei City Taiwán, R.O.C",241,17：00∼24：00  (Non scheduled closed),,121.50048,25.06538,09,,,9/11/2019 16:33
E3_382000000A_208364,Taishan Li’s pepper pie shop,"The shop is very small with only 6-7 square meters. The two big jars for baking the pepper pie are made by hand by the boss himself with volcanic earth. The pepper pie has a taste of crisp, but is not greasy with very thin skin and big meat stuffing. The stuffing is made of pig’s fresh rear leg meat plus green onion, pepper and fragrance made by private secrete formula.","886-2-22971722,886937817719","No.216, Sec. 2, Tailin Rd., ,  243, Taiwan, Taishan Dist., New Taipei City Taiwán, R.O.C",243,11:30-20:00 Closed on Sun.,,121.4328,25.0618,09,,,25/6/2018 10:33
E3_382000000A_208379,Jinshan Temple Gate Ice City,"The owner has worked very hard to develop new products. He is concerned about the selection of ingredients and believes in the business principle of making and selling fresh items. There are dozens of ice dishes, among which the ""fluffy ice"" is most loved by customers.",886-2-24987331,"No.94, jinbauli St., ,  208,Taiwan, Jinshan Dist., New Taipei City Taiwán, R.O.C",208,Mon. - Fri. 10:00-18:00 /  Weekend10:00~20:00,,121.63852,25.22182,09,,,9/11/2019 16:22
E3_382000000A_208807,Yongbo Garbage Noodles,"One of the most unusual places to eat in Yingge is at an inexpensive restaurant well-known among locals, Yongbo Garbage Noodles. The strange name of these noodles comes from the turbid nature of the soup base, which is made by simmering pork bone and then adding a special spicy oil.",886-2-86776000,"No. 157, Zhongzheng First Road, Yingge District, , Yingge Dist., New Taipei City Taiwán, R.O.C",239,16:00 - 01:30,,121.35254,24.95639,09,,,25/7/2020 15:08
E3_382000000A_208277,Sanzhi Happy Pig Bakery,"In the bakery are many pig decoraions, even the exterior of the counter hasconcrete pig botoms. The bakery uses imported cream, cheese, buter, and ﬂourto make breads and cakes with a true sense of happiness.",886-2-86353045,"No.27, Puwei, ,  252, Taiwan, Sanzhi Dist., New Taipei City Taiwán, R.O.C",252,Apr. - Sep. 11:00~19:00； Oct.- Mar. 11:00~18:00 closed on Mon.,,121.50258,25.24023,09,,,30/5/2022 13:57
E3_382000000A_208321,Chen’s Tofu Dessert,"The tofu desserts here use Wang’s Tofu as the main ingredient, which include products such as tofu ice cream, tofu cake, tofu cheese, and tofu pudding. Various fragrant and delicious tofu desserts can be found here.：",886-2-26632555,"Mon. ~ Fri. 10:00-17:00 /Weekend 09:30-18:30, Shiding Dist., New Taipei City Taiwán, R.O.C",223,Mon-Fri 10:00-16:00 Sat-Sun 09:00-18:30,,121.66031,24.99094,09,,,25/7/2020 12:00
E3_382000000A_208337,Tea Country Garden,"This place offers many kinds of tea snacks, and this is also Pinglin’s biggest tea snack shop that produces items such as tea egg rolls, teacakes, square tea biscuits, tea cakes, and tea candies.Tea Leaf Egg RollsCooking in Pinglin often involves infusing traditional dishes with local tea, which makes the food particularly popular among tourists who want to try something new.","886-2-26656567,886226658111","No. 90, Shuiliujiao Rd., ,  232, Taiwan, Pinglin Dist., New Taipei City Taiwán, R.O.C",232,9:00~21:00,,121.70889,24.93505,09,,,25/7/2020 12:02
E3_382000000A_208346,Tofu Ice Cream,"Dexing Residence is the inventor of tofu ice cream. With a slight touch of scorching aroma, tofu ice cream is creamy and smooth. It comes with a variety of ﬂavors, while tofu, caramel and sesame are more popular. The comic books and postcards drawn by Teacher Yen Song-Tao are also available for sale.",886-2-26644525,"No.48, Shenkeng St., ,  222, Taiwan, Shenkeng Dist., New Taipei City Taiwán, R.O.C",222,Mon-Fri 11:00-18:00  Sat-Sun 10:00-21:00,,121.61491,25.00172,09,,,7/10/2021 11:43
E3_382000000A_208339,Shunyi Tea House,Famous for the specially made tea dishes. Their tea oil noodle has a light teafragrance that spreads in your mouth.,886-2-26658000,"No. 216, Sec. 8, Beiyi Rd., ,  232, Taiwan , Pinglin Dist., New Taipei City Taiwán, R.O.C",232,11:00 - 15:30、17:00–20:00 / Closed on Wednesday.,,121.70678,24.93455,09,,,25/7/2020 11:58
E3_382000000A_208617,Jiufen Zheng’s Traditional Fishballs,"Recommended Productstraditional fishball, cuttlefish ball, Fuzhou ball, braised pork rice, specialty dry noodlesZheng's Traditional Fishballs is located in the first half of Jishan Old Street, and has been established for more than a decade. The name of this restaurant demonstrates its confidence in their brand and quality.",886-2-24968469,"No.25, Jishan St., Rueifang Dist.,  22448, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",224,Mon-Fri 10:00 - 19:00 Sat-Sun 10:00-20:00,,121.84553,25.10915,09,,,25/7/2020 11:56
E3_382000000A_208635,Mountain and Sea View Teahouse,"Recommended Productsscenic view, beverages, tea ceremony, set mealsThe Mountain and Sea View Teahouse resides in a yellow tiled three-story building near the rear of Jishan St. As the location happens to be where the Old Street takes a turn, with the Rear Viewing Platform, this teahouse has a better, non-obscured view than most.",886-2-24063069,"No. 150, Jishan St., ,  224, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",224,9:00-18:00,,121.84334,25.10818,09,,,25/6/2018 11:00
E3_382000000A_208352,Xiong's baked roll and twisted cruller,"This shop is run by 3 generations in the past 75 years. The baked roll and twisted cruller have accompanied many people as they grow up. Thebaked roll, twisted cruller, bread twist and ""twins"" are most populaand attract a lot of customers.",886-2-22772807,"No.206, Xinzhuang Rd., ,  242, Taiwan, Xinzhuang Dist., New Taipei City Taiwán, R.O.C",242,06:30-10:30,,121.4536,25.03476,09,,,11/6/2019 16:01
E3_382000000A_208634,Miners Café & Restaurant,"Recommended Productsgold, miner’s boxed lunchDuring the Japanese occupation period, Jinguashi was a mining area under the management of a Japanese company, Kamaishi Mining and Iron Works.",886-2-24961820,"No.8-1, Jinguang Rd., ,  224, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",224,09:00 - 17:00 / Weekend 09:00~18:00,,121.8562,25.10842,09,,,27/9/2021 16:26
E3_382000000A_208751,Hengxi Q Meatballs,"Sanxia is a town with a main street feel. As you leave the Sanxia Old Street area where most tourists gather, surrounding it are still many food stalls and eateries waiting for visitors to come have a taste. One of the best is Hengxi Q Meatballs, located on Minsheng Street. Its namesake dish features an outer skin that is chewy while its lean-meat filling has a stark aroma.","886-2-26725788,886920607345","No. 193 Minsheng Street; Sanxia District, , Sanxia Dist., New Taipei City Taiwán, R.O.C",237,09:30~19:00 closed on Tue.,,121.37203,24.93483,09,,,9/11/2019 16:31
E3_382000000A_208814,Fu-Guei-Tao-Yuan Art & Culture,"Just like the exhibition hall attached to it, the Fu-Guei restaurant uses valuable artistic pieces by well-known artists for its decorations and serving implements. When eating hot pot served with a dining set that costs over ten thousand Taiwan dollars, the beer- marinated chicken seems even more intoxicating.",886-2-26705250,"No. 96, Chongqing Street, Yingge District, , Yingge Dist., New Taipei City Taiwán, R.O.C",239,11:30 ~ 20:00 closed on the first and the third Tue. of the month,,121.34829,24.9523,09,,,27/9/2021 15:46
E3_382000000A_208278,Old Place,"Old Place is a very popular restaurant for street-food-type dishes in Sanzhi. The dumplings contain whole shrimp. The shrimp tastes fresh, and the broth is thick. Steamed meat balls from Chaozhou are soft, chewy, but not greasy, with lots of meat inside.",886-2-26367711,"No.21, Sec. 2, Danjin Rd., ,  252, Taiwan, Sanzhi Dist., New Taipei City Taiwán, R.O.C",252,11:00 ~21:00 closed on Mon.,,121.50281,25.2596,09,,,30/8/2018 17:55
E3_382000000A_208317,Big White Sand,"This restaurant provides Chinese stir-fry dishes and Western dishes. They also provide a very popular homemade taro dessert. The restaurant offers ice cream in the summer, and this wonderful gesture helps to cool the tourists.","886-2-26366760,886917384548","No.33-6, Xiayuankeng, ,  253, Taiwan, Shimen Dist., New Taipei City Taiwán, R.O.C",253,Mon. - Fri. 11:00-18:00  Weekend 11:00-19:00,,121.5195,25.2832,09,,,7/10/2021 11:41
